VisitorID,Visits,PageViews,Hits,TotalHits,HitNumber,a_diffdays_latest,a_diffdays_oldest,Device,Sistema,Morning Visits,DaytimeVisits,Evening Visits,Midnight Visits,Goal1,Goal2,Goal3,Conversion
128,1,1,2,1,1,9,9,DESKTOP,WINDOWS,0,0,1,0,0,0,0,FALSE
129,1,1,2,1,1,9,9,DESKTOP,WINDOWS,0,1,0,0,0,0,0,FALSE
130,1,1,2,1,1,9,9,DESKTOP,WINDOWS,0,0,1,0,1,0,0,FALSE
131,1,1,1,1,1,9,9,MOBILE,IOS,0,0,0,1,0,0,0,FALSE
132,1,1,2,2,1,9,9,DESKTOP,WINDOWS,0,1,0,0,0,0,0,TRUE
133,1,1,2,1,1,9,9,DESKTOP,WINDOWS,0,1,0,0,0,0,0,FALSE
134,1,1,2,2,1,9,9,DESKTOP,WINDOWS,0,1,0,0,0,0,0,FALSE
135,1,1,2,1,1,9,9,DESKTOP,WINDOWS,0,1,0,0,0,0,0,FALSE
136,2,2,6,10,4,9,9,DESKTOP,WINDOWS,0,0,2,0,0,0,0,FALSE
137,1,2,4,306,3,9,9,DESKTOP,MAC-OS,0,1,0,0,0,0,0,TRUE
138,2,2,4,5,2,9,33,DESKTOP,WINDOWS,1,1,0,0,0,0,0,FALSE
139,1,1,2,1,1,9,9,DESKTOP,WINDOWS,0,1,0,0,0,0,0,TRUE
140,1,1,2,1,1,9,9,DESKTOP,WINDOWS,0,1,0,0,0,0,0,TRUE
141,1,1,2,2,1,9,9,DESKTOP,WINDOWS,0,1,0,0,0,0,0,TRUE
142,1,1,2,1,1,9,9,DESKTOP,WINDOWS,0,0,1,0,0,1,0,TRUE
143,1,1,2,1,1,9,9,DESKTOP,WINDOWS,1,0,0,0,0,0,0,FALSE
144,1,1,2,6,1,9,9,DESKTOP,WINDOWS,0,1,0,0,0,0,0,TRUE
145,1,1,2,1,1,9,9,DESKTOP,WINDOWS,0,0,1,0,0,0,0,FALSE
146,1,1,1,1,1,9,9,DESKTOP,WINDOWS,1,0,0,0,0,0,0,TRUE
147,1,1,2,2,1,9,9,DESKTOP,WINDOWS,0,0,1,0,0,0,0,FALSE
148,2,2,4,2,2,43,43,DESKTOP,WINDOWS,1,0,1,0,0,0,0,FALSE
149,1,4,6,73,5,43,43,MOBILE,ANDROID,0,0,1,0,0,0,0,FALSE
150,1,3,4,399,1,43,43,DESKTOP,WINDOWS,0,1,0,0,0,0,0,FALSE
151,2,4,8,392,4,43,43,DESKTOP,WINDOWS,0,2,0,0,2,0,0,FALSE
152,1,1,2,1,1,43,43,DESKTOP,WINDOWS,0,0,1,0,0,0,0,FALSE
153,1,1,2,1,1,43,43,DESKTOP,WINDOWS,1,0,0,0,0,0,0,FALSE
154,2,2,6,22,3,43,43,DESKTOP,WINDOWS,0,2,0,0,0,0,0,FALSE
155,1,1,2,2,1,43,43,DESKTOP,MAC-OS,0,0,1,0,0,0,0,FALSE
156,1,3,6,645,5,43,43,DESKTOP,WINDOWS,0,1,0,0,0,0,0,FALSE
157,1,1,2,1,1,43,43,DESKTOP,WINDOWS,0,1,0,0,0,0,0,FALSE
158,2,4,8,2614,4,43,43,DESKTOP,WINDOWS,0,2,0,0,0,0,0,FALSE
159,1,2,4,36,3,43,43,DESKTOP,WINDOWS,1,0,0,0,0,0,0,FALSE
160,1,2,4,26,1,43,43,DESKTOP,WINDOWS,0,1,0,0,0,0,0,FALSE
161,1,1,2,1,1,43,43,DESKTOP,WINDOWS,0,1,0,0,0,0,0,FALSE
162,1,3,5,89,3,43,43,DESKTOP,WINDOWS,1,0,0,0,0,0,0,FALSE
163,1,1,2,5,1,43,43,DESKTOP,WINDOWS,0,1,0,0,0,0,0,FALSE
164,2,3,5,32,2,33,43,DESKTOP,MAC-OS,0,2,0,0,0,0,0,FALSE
165,1,1,2,5,1,43,43,DESKTOP,WINDOWS,0,0,1,0,0,0,0,FALSE
166,1,1,2,1,1,43,43,DESKTOP,WINDOWS,1,0,0,0,0,0,0,FALSE
167,1,1,2,1,1,43,43,DESKTOP,WINDOWS,0,0,1,0,0,0,0,FALSE
168,1,1,2,3,1,43,43,DESKTOP,WINDOWS,0,1,0,0,0,0,0,FALSE
169,1,1,2,1,1,43,43,DESKTOP,WINDOWS,0,1,0,0,0,0,0,FALSE
170,1,1,2,1,1,43,43,DESKTOP,MAC-OS,0,0,0,1,0,0,0,FALSE
171,2,4,8,36,4,43,43,DESKTOP,WINDOWS,0,2,0,0,0,0,0,FALSE
172,1,1,2,1,1,43,43,DESKTOP,WINDOWS,0,0,1,0,0,0,0,FALSE
173,26,26,64,8240,38,1,47,DESKTOP,WINDOWS,10,4,12,0,0,0,0,TRUE
174,1,2,4,14,1,43,43,TABLET,IOS,0,1,0,0,0,0,0,FALSE
175,1,1,2,2,1,43,43,DESKTOP,WINDOWS,0,1,0,0,0,0,0,FALSE
176,1,1,2,1,1,43,43,DESKTOP,WINDOWS,0,1,0,0,0,0,0,FALSE
177,1,1,2,1,1,43,43,DESKTOP,WINDOWS,0,0,1,0,0,0,0,FALSE
178,1,1,2,9,1,43,43,DESKTOP,WINDOWS,0,1,0,0,0,0,0,FALSE
179,1,1,2,1,1,43,43,DESKTOP,WINDOWS,0,1,0,0,0,0,0,FALSE
180,1,1,1,1,1,43,43,DESKTOP,WINDOWS,0,1,0,0,0,0,0,FALSE
181,1,1,2,1,1,43,43,DESKTOP,WINDOWS,0,0,1,0,0,0,0,FALSE
